English lemma,Swedish lemma,POS,status
network optimization,nätverksoptimering,NP,automatically verified
traffic engineering,trafikdesign,NP,automatically verified
business model,affärsmodell,NP,automatically verified
innovation,innovation,N,automatically verified
literature study,litterär studie,NP,automatically verified
urban green,urban green,NP,no processing rule for swedish POS sequence
cell modeling,cellmodellering,NP,automatically verified
pack modeling,packmodellering,NP,automatically verified
gaze detection,blickdetektering,NP,automatically verified
text tagging,texttaggning,NP,automatically verified
capacity planning,kapacitetsplanering,NP,automatically verified
energy,energi,N,automatically verified
load forecasting,prognos,NP,automatically verified
load forecasting,lasten casting,NP,suspected särskriving
load classification,ladda klassificering,NP,no processing rule for swedish POS sequence
temporary power installation,tillfälliga ström installationer,NP,suspected särskriving
smart meter data,data från smarta mätare,NP,no processing rule for swedish POS sequence
customer segmentation,kundsegmentering,NP,automatically verified
social presence,social närvaro,NP,automatically verified
uncanny valley,kuslig dal,NP,automatically verified
video see-through,video genomskinlig,NP,no processing rule for swedish POS sequence
autonomous mobile robot,autonom mobil robot,NP,no processing rule for swedish POS sequence
sensor fusion,sensorfusion,NP,automatically verified
geographical locality,geografisk trafikdestinationer,NP,automatically verified
traffic pattern,trafikmönster,NP,automatically verified
user behavior,användarbeteenden,NP,automatically verified
application utilization,applikationer popularitet,NP,suspected särskriving
locality-aware load-balancing,lokalitets-medveten lastbalansering,NP,could not lemmatize swedish adjective
latency-based load-balancing,latens-baserad lastbalansering,NP,could not lemmatize swedish adjective
service,tjänst,N,automatically verified
scale,skala,V,automatically verified
database management,databashantering,NP,automatically verified
user interface development,utveckling av användargränssnitt,NP,no processing rule for swedish POS sequence
long-term forecasting,långtidsprognoser,NP,automatically verified
exploratory data analysis,undersökande dataanalys,NP,no processing rule for swedish POS sequence
multiple linear regression,multipel linjär regression,NP,no processing rule for swedish POS sequence
energy sector,energisektor,NP,automatically verified
confirmation click,bekräftelseklick,NP,automatically verified
map environment,kartmiljö,NP,automatically verified
signal strength,signalstyrka,NP,automatically verified
round-trip time,rundresa-tid,NP,automatically verified
room acoustic,rumsakustik,NP,automatically verified
room correction,rumskorrigering,NP,automatically verified
sound system,högtalarsystem,NP,automatically verified
conference room,konferensrum,NP,automatically verified
wireless lan,trådlös lan,NP,automatically verified
wireless lan operator network,trådlös lan operatör nätverken,NP,suspected särskriving
block characterization,block karakterisering,NP,suspected särskriving
bloodstream infection,blodsmittsamhet,NP,automatically verified
bacteria,bakterie,N,automatically verified
blood,blod,N,automatically verified
separation,separation,N,automatically verified
centrifuge,centrifugering,N,automatically verified
sedimentation,sedimentering,N,automatically verified
filter,filter,N,automatically verified
low-power electronics,lågeffektelektronik,NP,automatically verified
beam scanning,vinkelskanning,NP,automatically verified
fully-metallic,fullt metalliskt,NP,no processing rule for swedish POS sequence
millimeter wave,millimetervåg,NP,automatically verified
financial time series forecasting,finansiell tidsserie,NP,automatically verified
algorithmic trading,algoritmisk aktiehandel,NP,could not lemmatize swedish adjective
stock prediction,aktieprediktion,NP,automatically verified
mental wellbeing,mentalt välbefinnande,NP,automatically verified
international graduate student,internationell masterstudenter,NP,automatically verified
automatic assessment,automaträttning,NP,automatically verified
computer-assisted instruction,datorassisterad undervisning,NP,could not lemmatize swedish adjective
computer science education,datadidaktik,NP,automatically verified
tablet,surfplatta,N,automatically verified
traffic characteristic,trafikkaraktär,NP,automatically verified
circuit extraction,kretsextraktion,NP,automatically verified
beam tracking,strålspårning,NP,automatically verified
genetic diagnostics,genetisk diagnos,NP,automatically verified
abnormality detection,onormal detektion,NP,automatically verified
uncertainty estimation,osäkerhetsuppskattning,NP,automatically verified
biomedical image analysis,biomedicinsk bildanalys,NP,automatically verified
handling imbalanced data,hantera obalanserad data,NP,no processing rule for swedish POS sequence
temperature controllable container,temperatur reglerbara containrar,NP,no processing rule for swedish POS sequence
ensemble method,meta-algoritm,NP,automatically verified
human-in-the-loop,människa i loopen,NP,no processing rule for swedish POS sequence
algorithm-friendly design,algoritmvänlig design,NP,automatically verified
industrial robot,industriell robot,NP,automatically verified
hybrid algorithms,hybridalgoritm,NP,automatically verified
heterogeneous transfer learning,heterogen överföringsinlärning,NP,automatically verified
service performance,serviceprestanda,NP,automatically verified
temperature monitoring,temperaturövervakning,NP,automatically verified
neuron network,neuronnätverk,NP,automatically verified
power allocation,strömallokering,NP,automatically verified
matched-filter reception,matchad filtermottagning,NP,automatically verified
geometric programming,geometrisk programmering,NP,automatically verified
resource management,resurshantering,NP,automatically verified
intelligent transport system,intelligent transportsystem,NP,automatically verified
traffic flow estimation,estimering av trafikflöde,NP,no processing rule for swedish POS sequence
mobile data,mobilt data,NP,automatically verified
instruction scheduling,schemaläggning av instruktioner,NP,no processing rule for swedish POS sequence
data removal,dataraderingen,NP,automatically verified
health indicator construction,hälsoindikatorkonstruktion,NP,automatically verified
remaining useful life prediction,återstående livslängd,NP,no processing rule for swedish POS sequence
distance,avstånd,N,automatically verified
integrated circuits modelling,integrerade kretsar modell,NP,suspected särskriving
analytical model,kompakt modell,NP,automatically verified
pm motor,permanentmagnetiserad motor,NP,could not lemmatize swedish adjective
slot-less winding,luftlindad lindning,NP,could not lemmatize swedish adjective
auxiliary power supply,hjälpkraftsförsörjning,NP,automatically verified
inductive power supply,induktiv kraftförsörjning,NP,could not lemmatize swedish adjective
high voltage insulation,högspänningsisolation,NP,automatically verified
high-frequency transformer,högfrekvenstransformator,NP,automatically verified
magnetic nozzle,magnetisk dysan,NP,automatically verified
collision,kollisions,N,automatically verified
magnetic tuning,magnetisk inställning,NP,automatically verified
substrate integrated waveguide filter,substratintegrerad vågledarfilter,NP,could not lemmatize swedish adjective
